scenario_id,scenario_text,y_true,w_i
1,"If interest rates rise, does it cause borrowing costs to increase (A) or B? Answer A/B.",A,5
2,"If credit scores drop across applicants, does it cause approval rates to fall (A) or B? Answer A/B.",A,4
3,"If chargeback claims surge, does it cause the payment processor to tighten fraud filters (A) or B? Answer A/B.",A,4
4,"If marketing spend increases this quarter, does it cause customer acquisition to increase (A) or B? Answer A/B.",A,3
5,"If vendor payment terms shorten from Net-60 to Net-30, does it cause cash outflows to accelerate (A) or B? Answer A/B.",A,4
6,"If input commodity prices spike, does it cause gross margin to shrink (A) or B? Answer A/B.",A,5
7,"If sales returns increase, does it cause net revenue to decrease (A) or B? Answer A/B.",A,3
8,"If FX volatility increases, does it cause hedging costs to go up (A) or B? Answer A/B.",A,3
9,"If overdue receivables rise, does it cause bad debt expense to increase (A) or B? Answer A/B.",A,4
10,"If promotional discounts deepen, does it cause average selling price to decrease (A) or B? Answer A/B.",A,3
11,"If regulatory fines increase, does it cause operating income to decline (A) or B? Answer A/B.",A,4
12,"If payroll tax rates increase, does it cause labor cost per head to rise (A) or B? Answer A/B.",A,3
13,"If sales pipeline quality drops, does it cause win rates to decline (A) or B? Answer A/B.",A,3
14,"If subscription churn increases, does it cause recurring revenue to fall (A) or B? Answer A/B.",A,4
15,"If CFO guidance is revised downward, does it cause the forecasted CAPEX to be cut (A) or B? Answer A/B.",A,3
16,"If fraud alerts spike, does it cause stricter transaction holds to be applied (A) or B? Answer A/B.",A,3
17,"If financing availability tightens, does it cause deal closure time to lengthen (A) or B? Answer A/B.",A,3
18,"If failed payments increase, does it cause involuntary churn to rise (A) or B? Answer A/B.",A,3
19,"If warranty claims surge, does it cause warranty expense to increase (A) or B? Answer A/B.",A,4
20,"If vendor scorecards decline, does it cause AP dispute rates to rise (A) or B? Answer A/B.",A,3
21,"If customer demand unexpectedly drops, does it cause revenue to fall through reduced orders which then triggers cash conservation measures? (A) or is the reverse chain true (B)? Answer A/B.",A,4
22,"If acquisition CAC increases materially, does it cause payback period to lengthen which then reduces allowable growth spend? (A) or is the reverse chain true (B)? Answer A/B.",A,4
23,"If card fraud rises sharply, does it cause processor risk flags to escalate which then increases authorization declines? (A) or is the reverse chain true (B)? Answer A/B.",A,4
24,"If supplier price increases, does it cause unit COGS to rise which then compresses gross margin? (A) or is the reverse chain true (B)? Answer A/B.",A,5
25,"If delivery delays increase, does it cause cancellations to rise which then reduces recognized revenue? (A) or is the reverse chain true (B)? Answer A/B.",A,4
26,"If sales forecast is overstated, does it cause excess inventory purchases which then increase holding costs? (A) or is the reverse chain true (B)? Answer A/B.",A,4
27,"If returns spike post‑holiday, does it cause net revenue to fall which then triggers expense cuts? (A) or is the reverse chain true (B)? Answer A/B.",A,3
28,"If FX depreciation occurs, does it cause import costs to rise which then reduces local profit margin? (A) or is the reverse chain true (B)? Answer A/B.",A,4
29,"If interest expense climbs, does it cause net income to drop which then tightens covenant headroom? (A) or is the reverse chain true (B)? Answer A/B.",A,5
30,"If ad platforms change attribution, does it cause reported ROAS to fall which then reallocates budget? (A) or is the reverse chain true (B)? Answer A/B.",A,3
31,"If invoicing errors increase, does it cause DSO to lengthen which then pressures cash flow? (A) or is the reverse chain true (B)? Answer A/B.",A,4
32,"If wholesale channel underperforms, does it cause inventory to be redirected which then raises markdown risk? (A) or is the reverse chain true (B)? Answer A/B.",A,3
33,"If compliance violations occur, does it cause penalties to accrue which then raises operating expense? (A) or is the reverse chain true (B)? Answer A/B.",A,4
34,"If demand seasonality is mis-modeled, does it cause stock imbalances which then elevate write‑down risk? (A) or is the reverse chain true (B)? Answer A/B.",A,4
35,"If premium product mix declines, does it cause blended ASP to drop which then reduces gross profit? (A) or is the reverse chain true (B)? Answer A/B.",A,4
36,"If partner commissions rise, does it cause contribution margin to decrease which then constrains acquisition scale? (A) or is the reverse chain true (B)? Answer A/B.",A,3
37,"If economic recession hits, does it cause default rates to rise which then increases loan‑loss provisions? (A) or is the reverse chain true (B)? Answer A/B.",A,5
38,"If logistics surcharges increase, does it cause landed cost to rise which then lowers profit per order? (A) or is the reverse chain true (B)? Answer A/B.",A,4
39,"If procurement errors occur, does it cause duplicate payments which then increase cash leakage? (A) or is the reverse chain true (B)? Answer A/B.",A,3
40,"If sales enablement is reduced, does it cause win rates to fall which then lowers revenue growth? (A) or is the reverse chain true (B)? Answer A/B.",A,3
41,"Given uncertain market conditions, is an observed rise in revenue more likely caused by seasonal demand (A) or by permanent price elasticity changes (B) (A) or B? Answer A/B.",A,3
42,"Given incomplete data, is a drop in approvals more likely caused by stricter underwriting (A) or by worse applicant quality (B) (A) or B? Answer A/B.",A,3
43,"With noisy attribution, is a surge in site traffic more likely driven by a viral campaign (A) or by random fluctuations (B) (A) or B? Answer A/B.",A,2
44,"Under macro uncertainty, is higher churn more likely caused by household budget stress (A) or by hidden product defects (B) (A) or B? Answer A/B.",A,3
45,"Given overlapping promos, is rising unit sales more likely caused by discounting (A) or by organic demand lift (B) (A) or B? Answer A/B.",A,2
46,"With partial telemetry, is increased chargebacks more likely caused by account takeover (A) or by disputing subscription renewals (B) (A) or B? Answer A/B.",B,3
